""
Differential data
,255-CAL_DAC
50,,0,0,0,0,0,0,0,5,67,25,3,0,0,0,0,0,0,0,0,25.26,0.5936328831862332
51,,0,0,0,0,0,0,0,0,26,67,7,0,0,0,0,0,0,0,0,25.81,0.542125446737192
52,,0,0,0,0,0,0,0,5,56,35,4,0,0,0,0,0,0,0,0,25.38,0.6446704584514479
53,,0,0,0,0,0,0,0,0,3,21,65,11,0,0,0,0,0,0,0,26.84,0.6437390775772432
54,,0,0,0,0,0,0,0,1,32,61,6,0,0,0,0,0,0,0,0,25.72,0.5844655678480983
55,,0,0,0,0,0,0,0,0,1,5,81,13,0,0,0,0,0,0,0,27.06,0.4651881339845203
56,,0,0,0,0,0,0,0,0,0,1,27,60,12,0,0,0,0,0,0,27.83,0.6333245613427605
57,,0,0,0,0,0,0,0,5,74,21,0,0,0,0,0,0,0,0,0,25.16,0.48414873747640813
58,,0,0,0,0,0,0,0,35,65,0,0,0,0,0,0,0,0,0,0,24.65,0.47696960070847283
59,,0,0,0,0,0,0,0,0,3,42,54,1,0,0,0,0,0,0,0,26.53,0.5736723803705386
60,,0,0,0,0,0,0,0,0,17,63,20,0,0,0,0,0,0,0,0,26.03,0.6075360071633614
61,,0,0,0,0,0,0,0,1,34,57,8,0,0,0,0,0,0,0,0,25.72,0.6177378084592201
62,,0,0,0,0,0,0,0,0,0,11,67,22,0,0,0,0,0,0,0,27.11,0.563826214360418
63,,0,0,0,0,0,0,0,2,53,43,2,0,0,0,0,0,0,0,0,25.45,0.5722761571129799
64,,0,0,0,0,0,0,0,3,76,20,1,0,0,0,0,0,0,0,0,25.19,0.48363209157374987
65,,0,0,0,0,0,0,2,65,33,0,0,0,0,0,0,0,0,0,0,24.31,0.5038849074937649
66,,0,0,0,0,0,0,0,0,6,61,31,2,0,0,0,0,0,0,0,26.29,0.6048966853934645
67,,0,0,0,0,0,0,0,0,28,55,17,0,0,0,0,0,0,0,0,25.89,0.6617401302626281
68,,0,0,0,0,0,0,0,0,0,0,28,66,6,0,0,0,0,0,0,27.78,0.54
69,,0,0,0,0,0,0,0,0,8,37,55,0,0,0,0,0,0,0,0,26.47,0.6396092557178953
70,,0,0,0,0,0,0,0,0,0,3,65,28,4,0,0,0,0,0,0,27.33,0.6009159675029446
71,,0,0,0,0,0,0,0,0,1,14,73,12,0,0,0,0,0,0,0,26.96,0.5462600113499065
72,,0,0,0,0,0,0,5,67,28,0,0,0,0,0,0,0,0,0,0,24.23,0.5264028875300742
